Transaction_ID,Transaction_date,Gender,Age,Marital_status,State_names,Referal,Employees_status,Payment_method,Segment,Amount_spent
151249,1/22/2019,Female,73,Married,Iowa,0,Unemployment,Card,Basic,351.88
151250,1/22/2019,Female,16,Married,Maryland,1,Employees,PayPal,Silver,583.72
151251,1/22/2019,Male,56,Single,Louisiana,0,self-employed,Card,Basic,2445.03
151252,1/22/2019,Male,35,Married,North Carolina,1,Unemployment,PayPal,Basic,1107.96
151253,1/23/2019,Male,51,Single,Kentucky,1,self-employed,PayPal,Basic,1312.78
151254,1/23/2019,Male,15,Married,Illinois,1,Employees,Card,Basic,2690.18
151255,1/24/2019,Male,26,Single,Rhode Island,1,workers,PayPal,Basic,2603.22
151256,1/25/2019,Female,67,Single,Iowa,1,Employees,PayPal,Gold,611.7
151257,1/25/2019,Male,71,Single,Massachusetts,1,Employees,PayPal,Gold,2569.67
151258,1/25/2019,Female,32,Single,South Carolina,1,Employees,Other,Basic,676.7
151259,1/25/2019,Male,73,Married,West Virginia,0,Employees,PayPal,Basic,1397.09
151260,1/26/2019,Male,55,Married,Kansas,1,Employees,Other,Basic,1277.64
151261,1/26/2019,Female,72,Married,Iowa,1,Unemployment,PayPal,Silver,515.77
151262,1/26/2019,Female,15,Married,South Carolina,1,self-employed,Other,Basic,790.1
151263,1/27/2019,Male,63,Single,Texas,1,Employees,Card,Gold,1218.56
151259,1/25/2019,Male,73,Married,West Virginia,0,Employees,PayPal,Basic,1397.09
151260,1/26/2019,Female,55,Married,Kansas,1,Employees,Other,Basic,1277.64
151261,1/26/2019,Male,72,Married,Iowa,0,Unemployment,PayPal,Silver,515.77
151262,1/26/2019,Male,15,Married,South Carolina,1,self-employed,Other,Basic,790.1
151263,1/27/2019,Female,63,Single,Texas,1,Employees,Card,Gold,1218.56
151264,1/27/2019,Male,52,Married,Tennessee,1,self-employed,PayPal,Basic,2850.48
151265,1/27/2019,Male,30,Single,California,0,workers,Card,Silver,1947.2
151266,1/29/2019,Female,24,Married,Colorado,0,workers,PayPal,Platinum,1731.54
151267,1/29/2019,Female,37,Single,Ohio,1,Unemployment,Other,Basic,52.08
151268,1/29/2019,Female,53,Married,Maine,0,Employees,Card,Silver,2943.46
151269,1/29/2019,Female,21,Married,Montana,1,Employees,PayPal,Basic,340.38
151270,1/29/2019,Male,24,Married,Oregon,1,workers,Other,Silver,1663.72
151271,1/30/2019,Male,48,Married,North Dakota,1,Unemployment,Card,Basic,828.41
151272,1/30/2019,Female,69,Single,Texas,0,workers,Card,Missing,489.47
151273,1/30/2019,Male,73,Married,Alaska,0,self-employed,PayPal,Platinum,1364.31
151274,1/30/2019,Male,50,Single,Oklahoma,1,Employees,Card,Missing,2943.46
151275,1/30/2019,Female,28,Single,Connecticut,1,Unemployment,Card,Basic,2768.15
151276,1/31/2019,Male,49,Married,Vermont,1,workers,PayPal,Basic,2439.65
151277,1/31/2019,Male,70,Married,Ohio,1,workers,Other,Silver,574.1
151278,2/1/2019,Female,61,Single,Oklahoma,0,self-employed,Card,Basic,206.79
151279,2/2/2019,Female,21,Married,Oregon,0,self-employed,Other,Basic,1218.56
151280,2/2/2019,Female,34,Single,Illinois,1,workers,PayPal,Silver,1933.66
151281,2/2/2019,Female,58,Married,Nevada,0,workers,Card,Gold,2640.72
151282,2/2/2019,Male,70,Single,New Jersey,0,workers,PayPal,Basic,2969.24
151283,2/2/2019,Male,48,Married,Louisiana,0,Employees,Other,Silver,1144.28
151284,2/3/2019,Male,43,Married,Massachusetts,1,self-employed,Other,Platinum,2061.14
151285,2/3/2019,Female,51,Married,Indiana,1,workers,PayPal,Platinum,2722.37
151286,2/3/2019,Female,45,Single,New York,0,Employees,Other,Basic,2823.89
151287,2/4/2019,Male,45,Single,New York,0,workers,PayPal,Silver,1955.43
151288,2/4/2019,Female,60,Married,Rhode Island,1,Employees,Card,Silver,841.26
151289,2/5/2019,Female,41,Single,Florida,1,self-employed,Card,Basic,1364.31
151290,2/5/2019,Male,51,Single,Arkansas,1,workers,Card,Platinum,2547.96
151291,2/5/2019,Female,15,Single,Virginia,1,Unemployment,Card,Basic,2922.97
151292,2/5/2019,Male,55,Married,Michigan,0,Employees,PayPal,Basic,803.5
151293,2/6/2019,Female,75,Married,Maryland,1,Employees,Card,Basic,1612.63
151294,2/6/2019,Male,77,Single,Nebraska,1,Employees,PayPal,Platinum,1608.27
151295,2/6/2019,Male,22,Married,Kansas,0,workers,Card,Missing,2061.14
151296,2/6/2019,Male,33,Married,Virginia,0,Employees,PayPal,Platinum,2989.33
151297,2/6/2019,Male,60,Married,Utah,1,Unemployment,Other,Silver,433.2
151298,2/7/2019,Female,45,Married,Missouri,1,workers,Other,Platinum,929.89
151299,2/8/2019,Male,33,Single,Arizona,0,workers,PayPal,Silver,2560.26
151300,2/8/2019,Female,24,Married,South Carolina,0,Unemployment,Other,Basic,2061.14
151301,2/8/2019,Male,53,Single,Colorado,1,self-employed,Other,Basic,1888.69
151302,2/8/2019,Male,70,Married,New Hampshire,1,Employees,Card,Missing,685.49
151303,2/8/2019,Female,16,Married,Nebraska,1,workers,PayPal,Basic,1264.73
151297,2/6/2019,Male,60,Married,Utah,1,Unemployment,Other,Silver,433.2
151298,2/7/2019,Male,45,Married,Missouri,1,workers,Other,Platinum,929.89
151299,2/8/2019,Male,33,Single,Arizona,0,workers,PayPal,Silver,2560.26
151300,2/8/2019,Female,24,Married,South Carolina,0,Unemployment,Other,Basic,929.89
151301,2/8/2019,Male,53,Single,Colorado,1,self-employed,Other,Basic,1888.69
151302,2/8/2019,Female,70,Married,New Hampshire,1,Employees,Card,Missing,685.49
151303,2/8/2019,Female,16,Married,Nebraska,1,workers,PayPal,Basic,1264.73
151304,2/10/2019,Female,50,Married,Montana,1,workers,Card,Basic,1711.6
151305,2/10/2019,Female,25,Married,Wyoming,1,workers,Other,Silver,309.82
151306,2/10/2019,Male,76,Single,Ohio,1,self-employed,PayPal,Basic,1331.62
151307,2/11/2019,Male,43,Married,Wyoming,1,Employees,Card,Basic,914.94
151308,2/11/2019,Male,32,Single,Oregon,1,workers,PayPal,Basic,2922.53
151309,2/11/2019,Male,43,Married,Tennessee,0,self-employed,PayPal,Silver,2434.81
151310,2/12/2019,Female,19,Single,Louisiana,0,workers,Card,Platinum,1711.6
151311,2/12/2019,Female,41,Married,Utah,0,self-employed,Other,Basic,1178.02
151312,2/12/2019,Female,32,Married,Florida,1,Employees,PayPal,Silver,15.37
151313,2/12/2019,Male,76,Single,Michigan,1,Unemployment,PayPal,Silver,764.34
151314,2/12/2019,Male,55,Married,Kansas,1,Employees,PayPal,Platinum,329.18
151315,2/13/2019,Male,72,Single,South Dakota,0,Unemployment,Other,Basic,1380
151316,2/13/2019,Male,56,Single,Virginia,1,self-employed,PayPal,Platinum,46.72
151317,2/13/2019,Male,74,Single,Connecticut,1,workers,Other,Basic,560.13
151318,2/13/2019,Female,34,Married,Kentucky,1,workers,Other,Platinum,329.18
151319,2/13/2019,Male,54,Married,Georgia,1,Unemployment,Other,Basic,1034.15
151320,2/14/2019,Female,31,Married,Washington,1,self-employed,Card,Missing,2508.55
151321,2/14/2019,Male,69,Single,Montana,1,self-employed,PayPal,Basic,2906.08
151322,2/15/2019,Male,52,Single,Michigan,1,Unemployment,PayPal,Gold,1093.33
151323,2/15/2019,Female,15,Married,Alaska,0,self-employed,Other,Basic,1408.1
151324,2/16/2019,Female,74,Single,Wisconsin,0,workers,Card,Basic,490.37
151325,2/16/2019,Male,68,Single,Rhode Island,1,Employees,PayPal,Basic,2906.08
151326,2/17/2019,Male,24,Married,Louisiana,0,Employees,Other,Missing,1204.03
151327,2/17/2019,Female,77,Single,Kansas,0,self-employed,PayPal,Platinum,200.58
151328,2/18/2019,Male,16,Married,Georgia,0,workers,PayPal,Basic,1253.32
151329,2/19/2019,Male,33,Single,Kentucky,0,Employees,Card,Basic,1486.32
151330,2/19/2019,Female,26,Married,Idaho,0,Unemployment,PayPal,Basic,1461.49
151331,2/20/2019,Male,28,Single,West Virginia,1,workers,Card,Platinum,1893.16
151332,2/20/2019,Male,49,Married,Nebraska,1,Employees,PayPal,Basic,1321.7
151333,2/20/2019,Female,52,Married,New Mexico,0,workers,Other,Basic,861.26
151334,2/21/2019,Female,18,Single,Alabama,0,Employees,Other,Silver,459.47
151335,2/21/2019,Female,71,Single,Oregon,0,workers,PayPal,Basic,685.01
151336,2/21/2019,Female,22,Married,New Mexico,0,workers,PayPal,Gold,1862.93
151337,2/21/2019,Male,54,Married,Michigan,1,Unemployment,PayPal,Basic,2831.72
151338,2/21/2019,Male,77,Married,Montana,1,workers,Other,Basic,875.44
151339,2/21/2019,Female,59,Married,Ohio,1,Employees,Other,Basic,435.79
151340,2/22/2019,Male,61,Married,California,1,self-employed,PayPal,Basic,670.59
151341,2/23/2019,Male,45,Married,Montana,0,Employees,PayPal,Basic,2497.39
151342,2/23/2019,Female,39,Married,Pennsylvania,1,workers,Other,Silver,93.11
151343,2/24/2019,Male,16,Married,Oklahoma,1,Employees,Card,Gold,2497.12
151344,2/25/2019,Male,28,Single,North Dakota,1,Employees,Card,Silver,1733.65
151345,2/26/2019,Female,25,Married,West Virginia,1,Employees,PayPal,Basic,2746.61
151346,2/26/2019,Female,42,Married,Arkansas,1,Employees,Card,Silver,2789.59
151347,2/26/2019,Female,28,Married,California,1,Employees,PayPal,Basic,1287.31
151348,2/27/2019,Female,63,Married,Arizona,0,Employees,PayPal,Gold,1747.91
151349,2/28/2019,Male,46,Single,Rhode Island,0,workers,PayPal,Platinum,214.92
151350,2/28/2019,Male,78,Single,Michigan,0,Employees,PayPal,Basic,2555.05
151351,3/1/2019,Male,75,Married,Oklahoma,1,self-employed,Other,Basic,1319.12
151352,3/1/2019,Female,64,Married,New York,1,Employees,PayPal,Basic,1581.77
151353,3/2/2019,Female,28,Single,Vermont,1,workers,Other,Silver,2422.79
151354,3/2/2019,Male,42,Single,Illinois,1,Employees,Card,Silver,971.01
151355,3/2/2019,Female,66,Married,Georgia,1,Employees,PayPal,Basic,783.89
151356,3/3/2019,Female,62,Married,Mississippi,1,Unemployment,Other,Silver,503.49
151357,3/3/2019,Male,15,Married,Florida,1,Employees,Other,Gold,1790.9
151358,3/3/2019,Female,76,Married,Georgia,1,workers,Other,Missing,1832.59
151359,3/4/2019,Male,53,Married,Nevada,0,self-employed,PayPal,Platinum,71.73
151360,3/4/2019,Female,39,Married,Idaho,1,Employees,PayPal,Basic,2486.94
151361,3/4/2019,Male,58,Married,North Carolina,1,Employees,PayPal,Silver,520.69
151362,3/5/2019,Male,30,Married,New Jersey,1,Employees,Card,Gold,918.51
151363,3/5/2019,Male,17,Single,West Virginia,1,self-employed,PayPal,Basic,1070.97
151364,3/5/2019,Male,40,Married,Colorado,1,self-employed,PayPal,Missing,1089.97
151365,3/6/2019,Female,20,Married,Georgia,1,self-employed,PayPal,Silver,1618.44
151366,3/6/2019,Male,46,Married,Alaska,1,Unemployment,Other,Platinum,2417.73
151367,3/6/2019,Female,36,Single,Iowa,1,Employees,PayPal,Basic,677.36
151368,3/7/2019,Male,20,Married,New York,0,workers,PayPal,Basic,2694.2
151369,3/7/2019,Male,20,Single,Minnesota,0,Employees,PayPal,Basic,922.31
151370,3/7/2019,Female,30,Married,Maryland,1,workers,PayPal,Platinum,350.68
151371,3/7/2019,Male,40,Married,Rhode Island,1,workers,Card,Silver,1152.11
151372,3/7/2019,Male,45,Single,Ohio,1,Employees,Other,Basic,1742.52
151373,3/8/2019,Male,17,Single,Hawaii,1,Employees,Card,Silver,655.42
151374,3/8/2019,Female,40,Married,Idaho,0,workers,Other,Silver,1977.22
151375,3/9/2019,Male,47,Married,West Virginia,0,workers,Other,Basic,1829.32
151376,3/9/2019,Female,37,Married,Oklahoma,1,Employees,Card,Basic,782.67
151377,3/9/2019,Female,55,Single,California,1,self-employed,Card,Silver,1501
151378,3/10/2019,Female,25,Single,Wyoming,1,Unemployment,Card,Platinum,2740.57
151379,3/10/2019,Female,32,Single,Arkansas,1,workers,Other,Basic,215.16
151380,3/10/2019,Male,17,Married,Mississippi,1,Unemployment,Card,Basic,1277.84
151381,3/11/2019,Male,47,Single,Alabama,0,Employees,PayPal,Basic,1500.59
151382,3/12/2019,Male,62,Married,New Mexico,0,Employees,Card,Platinum,103.59
151383,3/12/2019,Male,33,Married,Delaware,1,Employees,Other,Basic,1064.87
151384,3/13/2019,Female,72,Married,Nevada,1,self-employed,Other,Basic,89.91
151385,3/13/2019,Female,43,Married,Missouri,0,Employees,Card,Silver,2903.96
151386,3/13/2019,Female,34,Married,Alaska,0,workers,Card,Missing,1493.1
151387,3/14/2019,Male,49,Married,Oklahoma,0,Employees,PayPal,Missing,2562.52
151388,3/14/2019,Male,25,Single,Maine,1,workers,Other,Gold,2903.96
151389,3/14/2019,Male,19,Married,Tennessee,0,workers,PayPal,Silver,1003.62
151390,3/14/2019,Male,47,Single,Wyoming,1,Unemployment,Other,Gold,234.19
151391,3/14/2019,Male,15,Married,Wyoming,1,Employees,PayPal,Basic,2089.53
151392,3/15/2019,Female,66,Married,Massachusetts,1,workers,PayPal,Silver,2698.5
151393,3/15/2019,Male,37,Married,Arizona,1,Employees,Other,Basic,215.16
151394,3/15/2019,Female,62,Single,Texas,0,Employees,Card,Silver,69.84
151395,3/16/2019,Male,67,Single,Illinois,1,Employees,Card,Gold,2562.33
151396,3/16/2019,Male,21,Single,Minnesota,1,workers,PayPal,Platinum,2635.13
151397,3/16/2019,Female,75,Single,Kentucky,1,Unemployment,Card,Platinum,1659.73
151398,3/17/2019,Female,17,Married,Nevada,1,Employees,Other,Silver,1092.95
151399,3/17/2019,Male,62,Married,Massachusetts,1,self-employed,Card,Gold,378.43
151400,3/17/2019,Male,15,Single,Maine,1,workers,Card,Basic,1038.55
151401,3/18/2019,Female,64,Single,North Carolina,1,Unemployment,Card,Platinum,2590.51
151402,3/19/2019,Male,54,Single,North Dakota,1,Employees,Card,Basic,1659.73
151403,3/20/2019,Male,45,Single,Montana,1,Employees,PayPal,Platinum,968.41
151404,3/20/2019,Female,43,Married,Maine,0,workers,PayPal,Silver,705.68
151405,3/20/2019,Male,26,Married,Minnesota,0,Employees,Card,Basic,982.4
151406,3/21/2019,Male,17,Single,North Carolina,1,self-employed,Other,Basic,1390.46
151407,3/21/2019,Female,78,Married,Idaho,0,workers,Card,Silver,378.43
151408,3/21/2019,Female,65,Married,Vermont,1,Employees,Card,Platinum,61.35
151409,3/21/2019,Female,19,Single,Massachusetts,1,Unemployment,PayPal,Basic,1081.9
151410,3/21/2019,Female,65,Married,Nebraska,1,Employees,Card,Basic,61.35
151411,3/21/2019,Male,35,Single,New Mexico,0,workers,PayPal,Basic,2878.76
151412,3/22/2019,Male,41,Married,Michigan,1,Employees,PayPal,Silver,225.14
151413,3/22/2019,Female,59,Single,Missouri,1,workers,Other,Platinum,2452.97
151414,3/22/2019,Male,64,Married,Vermont,1,workers,Other,Platinum,2054.68
151415,3/23/2019,Male,15,Single,New York,1,self-employed,PayPal,Basic,1690.62
151416,3/23/2019,Female,58,Married,Kentucky,1,Employees,PayPal,Basic,931.82
151417,3/23/2019,Male,62,Married,Vermont,1,Employees,Card,Basic,2875.62
151418,3/23/2019,Male,41,Single,Virginia,1,Employees,Card,Basic,1326.62
151419,3/23/2019,Female,62,Married,North Carolina,1,Employees,PayPal,Silver,2909.85
151420,3/24/2019,Female,18,Single,Florida,1,workers,PayPal,Silver,2493.01
151421,3/24/2019,Female,63,Married,Indiana,1,self-employed,Card,Gold,414.51
151422,3/25/2019,Female,71,Married,Oklahoma,1,workers,PayPal,Gold,1865.09
151423,3/25/2019,Male,38,Married,Nebraska,0,self-employed,PayPal,Silver,1326.62
151424,3/25/2019,Male,51,Married,Oklahoma,1,workers,PayPal,Platinum,1165.53
151425,3/25/2019,Male,76,Single,Delaware,1,Employees,Card,Basic,550.44
151426,3/25/2019,Female,78,Single,Indiana,1,Employees,PayPal,Basic,1264.81
151427,3/26/2019,Female,70,Married,South Dakota,1,Employees,PayPal,Platinum,1989.96
151428,3/26/2019,Male,59,Single,West Virginia,0,workers,PayPal,Basic,550.44
151429,3/27/2019,Female,16,Married,Idaho,1,self-employed,PayPal,Basic,387.77
151430,3/28/2019,Female,18,Single,Illinois,1,Unemployment,PayPal,Basic,2589.36
151431,3/29/2019,Male,53,Single,Virginia,0,workers,PayPal,Platinum,1494.1
151432,3/29/2019,Female,47,Single,South Carolina,1,workers,Card,Silver,2779.66
151433,3/29/2019,Male,57,Married,New Jersey,1,Unemployment,Other,Platinum,841.23
151434,3/29/2019,Female,47,Married,South Dakota,1,workers,Other,Platinum,485.43
151435,3/29/2019,Male,19,Married,Massachusetts,1,workers,Other,Gold,2694.54
151436,3/29/2019,Male,64,Single,Mississippi,0,Employees,Card,Basic,2432.67
151437,3/29/2019,Male,57,Single,Nevada,1,self-employed,PayPal,Basic,80.64
151438,3/30/2019,Male,67,Married,South Carolina,1,workers,PayPal,Basic,2960.41
151439,3/30/2019,Female,53,Married,New Hampshire,0,workers,Other,Basic,2600.69
151440,3/30/2019,Male,68,Married,Ohio,1,Employees,PayPal,Basic,550.44
151441,3/31/2019,Female,44,Single,Virginia,0,workers,PayPal,Platinum,1226.06
151442,3/31/2019,Male,78,Married,New York,1,Employees,PayPal,Missing,2959.54
151443,3/31/2019,Male,76,Single,Vermont,1,Employees,Other,Platinum,1672.01
151444,3/31/2019,Female,60,Single,New Jersey,1,self-employed,Card,Basic,1891.16
151445,3/31/2019,Male,45,Married,Arizona,1,workers,Card,Basic,1692.07
151446,4/1/2019,Male,54,Single,West Virginia,1,self-employed,PayPal,Gold,485.43
151447,4/1/2019,Male,57,Single,Georgia,1,Unemployment,PayPal,Basic,625.29
151448,4/1/2019,Female,48,Single,Wisconsin,1,self-employed,PayPal,Basic,1471.54
151449,4/2/2019,Male,62,Married,New Mexico,0,self-employed,PayPal,Gold,1200.69
151450,4/2/2019,Female,27,Single,California,1,Employees,PayPal,Basic,1929.33
151451,4/2/2019,Female,66,Married,Washington,1,workers,PayPal,Missing,1672.01
151452,4/2/2019,Female,57,Married,Texas,1,Employees,PayPal,Silver,2670.72
151453,4/2/2019,Female,46,Married,Pennsylvania,1,Employees,Card,Basic,711.52
151454,4/3/2019,Male,34,Married,Texas,0,self-employed,Card,Basic,1901.16
151455,4/4/2019,Male,48,Married,Alaska,0,workers,Card,Gold,1728.06
151456,4/4/2019,Male,23,Married,New Mexico,1,Unemployment,Card,Basic,2863.62
151457,4/4/2019,Male,34,Single,Hawaii,1,workers,PayPal,Basic,1822.31
151458,4/4/2019,Female,77,Single,Arizona,0,self-employed,Card,Basic,711.52
151459,4/5/2019,Female,58,Married,California,0,workers,Card,Platinum,2670.72
151460,4/5/2019,Female,28,Married,Louisiana,0,workers,PayPal,Platinum,2600.69
151461,4/6/2019,Male,15,Married,Arizona,1,self-employed,PayPal,Basic,198.48
151462,4/6/2019,Male,58,Married,Mississippi,1,workers,PayPal,Basic,418.28
151463,4/6/2019,Male,27,Single,Oregon,0,workers,PayPal,Silver,913.81
151464,4/7/2019,Male,64,Married,Massachusetts,0,self-employed,PayPal,Gold,1901.16
151465,4/7/2019,Male,36,Married,Texas,0,Employees,Card,Platinum,1608.01
151466,4/7/2019,Female,43,Married,Montana,1,Unemployment,PayPal,Basic,2681.13
151467,4/7/2019,Male,23,Married,Nevada,1,self-employed,Card,Basic,2414.29
151468,4/7/2019,Female,59,Married,Iowa,0,Employees,PayPal,Gold,2410.23
151469,4/8/2019,Male,73,Married,Texas,1,workers,PayPal,Basic,63.2
151470,4/8/2019,Male,32,Married,New York,0,Unemployment,Other,Gold,522.24
151471,4/8/2019,Female,51,Married,South Dakota,1,workers,PayPal,Silver,2558.27
151472,4/8/2019,Female,51,Married,Vermont,1,self-employed,Other,Basic,603.47
151473,4/9/2019,Male,45,Single,Colorado,0,Employees,Card,Silver,2790.3
151474,4/10/2019,Male,50,Married,South Carolina,1,Employees,PayPal,Platinum,801.07
151475,4/10/2019,Female,56,Married,Wyoming,1,Employees,PayPal,Basic,250.81
151476,4/10/2019,Male,74,Married,Florida,1,workers,Other,Basic,2076.39
151477,4/10/2019,Male,49,Married,Oklahoma,1,workers,PayPal,Platinum,2692.4
151478,4/10/2019,Female,22,Single,Pennsylvania,1,Employees,PayPal,Basic,2928.57
151479,4/11/2019,Male,71,Single,Vermont,1,Employees,PayPal,Platinum,1707.96
151480,4/11/2019,Male,59,Married,Mississippi,1,self-employed,Card,Basic,2501.05
151481,4/11/2019,Female,46,Married,Oklahoma,1,Employees,Card,Basic,1757.27
151482,4/11/2019,Female,47,Single,Georgia,1,workers,PayPal,Platinum,1994.46
151483,4/11/2019,Female,23,Single,Indiana,0,workers,PayPal,Silver,1925
151484,4/11/2019,Female,56,Single,Florida,1,workers,Other,Missing,1600.96
151485,4/12/2019,Male,55,Married,Arizona,1,self-employed,Other,Basic,2773.68
151486,4/12/2019,Male,43,Single,Nebraska,1,self-employed,PayPal,Silver,2749.66
151487,4/12/2019,Female,61,Married,Massachusetts,1,Employees,Other,Gold,1600.96
151488,4/13/2019,Male,37,Single,Arizona,1,workers,Other,Silver,1733.91
151489,4/13/2019,Male,39,Single,Mississippi,0,Employees,Card,Silver,329.2
151490,4/13/2019,Female,73,Married,Wisconsin,1,Unemployment,PayPal,Basic,2787.95
151491,4/14/2019,Male,48,Married,California,1,workers,PayPal,Platinum,910.97
151492,4/14/2019,Male,78,Single,Oregon,0,workers,PayPal,Silver,7.44
151493,4/14/2019,Female,53,Single,Colorado,1,Employees,Card,Basic,1342.22
151494,4/15/2019,Female,46,Married,Utah,1,Employees,Other,Missing,1380.2
151495,4/15/2019,Female,55,Married,North Dakota,1,Employees,PayPal,Basic,2084.64
151496,4/16/2019,Female,63,Single,Hawaii,0,workers,PayPal,Silver,945.7
151497,4/16/2019,Male,15,Single,South Dakota,0,Employees,PayPal,Missing,1380.2
151498,4/17/2019,Male,57,Single,Kentucky,0,Unemployment,PayPal,Basic,663.43
151499,4/17/2019,Male,50,Married,Indiana,0,self-employed,Card,Basic,1394.19
151500,4/17/2019,Female,37,Single,Missouri,0,Employees,PayPal,Silver,638.49
151501,4/17/2019,Female,28,Single,Alaska,0,Employees,PayPal,Platinum,1834.95
151502,4/17/2019,Male,18,Married,Arizona,1,Unemployment,Card,Basic,1835.84
151503,4/17/2019,Female,35,Single,Illinois,1,workers,Card,Gold,1884.42
151504,4/18/2019,Female,70,Married,Nevada,1,Employees,PayPal,Basic,1176.71
151505,4/19/2019,Male,50,Married,Vermont,0,Employees,PayPal,Basic,53.82
151506,4/19/2019,Female,54,Married,Maine,0,workers,PayPal,Platinum,982.39
151507,4/19/2019,Male,48,Married,Kentucky,1,workers,PayPal,Basic,1690.7
151508,4/20/2019,Female,68,Married,Wyoming,0,workers,PayPal,Basic,1884.42
151509,4/20/2019,Male,30,Married,Michigan,1,Employees,PayPal,Platinum,2703.18
151510,4/20/2019,Male,38,Married,Texas,0,Employees,PayPal,Basic,281.95
151511,4/20/2019,Male,32,Married,Hawaii,1,self-employed,Other,Basic,338.98
151512,4/21/2019,Male,67,Married,Pennsylvania,0,workers,PayPal,Silver,883.97
151513,4/21/2019,Female,58,Married,Vermont,1,Employees,PayPal,Silver,2861.87
151514,4/21/2019,Male,31,Married,Oregon,1,Unemployment,Other,Basic,975.49
151515,4/21/2019,Female,42,Single,Ohio,1,workers,Other,Basic,421.83
151516,4/21/2019,Male,62,Married,Alaska,1,Employees,Other,Basic,588.88
